Название,Белки на 100гр,Жиры на 100гр,Калории на 100гр,Углеводы на 100гр
Контейнер 1шт,,,,
Комбо завтрак 1,,,,
Комбо завтрак 2,,,,
Шакшука,,,,
Запеканка творожная с изюмом,12,8,180,15
Сырник 1шт,,,,
Салат цезарь с курицей,,,,
Салат греческий,,,,
Салат оливье,,,,
Мясо по французски,,,,
Стейк из форели на гриле,,,,
Борщ Московский,,,,
Суп лапша Куриная,,,,
Солянка мясная сборная,,,,
Крем овсяный с ягодным соусом,,,,
Штрудель яблочный,,,,
Дорадо жареная,,,,
Треска запеченная с помидором и сыром,14,4,100,2
Котлета куриная,,,,
Котлета по киевски с грибами,,,,
Плов из курицы,9,6,150,15
Утиная ножка запеченая,15,12,250,6
Цыпленок жаренный по домашнему,,,,
Шашлык из курицы,,,,
Креветки жаренные,,,,
Крылья куриные,,,,
Пирожок с курицей,15.3,12.6,249,16.7
Колбаска улитка,14,27.3,303,0.4
Тефтель куриная в сливочном соусе с грибами,12,8,140,5
Говядина по еврейски с черносливом,15,10,175,8
Шейка свиная запеченая,15,25,300,1
Биточки говяжьи в сливочном шпинатном соусе,,,,
Коласка пряная с сыром,,,,
Запеканка с красной рыбой,,,,
Запеканка с броколли,,,,
Ребра свиные запеченные,,,,
Колбаска чоризо,,,,
Бычьи щеки под соусом брион,,,,
Яблочный пирог,,,,
Брауни обсешн,,,,
Fridays санде,,,,
Маффин,,,,
Сырники 3шт (вроде),,,,
Стейк Нью-йорк стрим prime,,,,
Куриная стружка баффало,,,,
Большое комбо,,,,
Блин Мега гриль,,,,
Блин Дубайский шоколад,6.5,25,410,40
Блин Биф бекон,6,7.7,187,23.5
Блин Жюльен жульен,6.8,9,185,19.1
Блин Биф Босс,3.9,7.8,201,28.9
Блин Илья Муромец,5.8,5.8,144,17
Блин Чикен Хит,5.3,7.5,176,21.8
Блин Чикен Трюфель,5.3,7.5,176,21.8
Блин Манго и абрикос,3.9,8.2,224,33.5
Блин шашлык,3.8,5.5,148,20.7
Блин шашлык XXL,3.8,5.5,148,20.7
Блин Космос,4.7,8.1,165,18.4
Блин Шаверма,5.2,4.8,134,17.4
Блин Охотничьи колбаски,6,11.2,202,19.3
Блин с ветчиной и сыром,7.8,9.1,186,18.3
Блин грибы и сыр,5.2,7.9,168,19
Блин 4 сыра,6.9,11.5,212,20.1
Блин картофель с грибами,3.3,7,168,23
Блин сырный с припеком,4.3,9.9,201,23.6
Блин Чизи Лосось,6.4,9.3,191,20.5
Блин Чизи Бекон,,,,
Блин клубничный тирамису,3.2,8.2,211,31.2
Блин сочная клубника,3.2,7.4,208,32.3
Блин вишневый штрудель,3,8,192,26.9
Блин творог и клубника,3.9,9.1,224,31.8
Творожок из дет меню,,,,
Блин Нутелла и банан,4.5,12,260,35
Блин спелая вишня,3.1,6.1,186,29.6
Блин с нутеллой,4.3,11.7,254,32.8
Блин со сметаной и сахаром,3.4,8.7,193,25.2
Блин с маслом,,,,
Сырники 2шт,18.6,3.6,180,18.2
Сырники 3шт,18.6,3.6,180,18.2
Креветки темпура 5шт,9,0.5,137,24
Креветки темпура 9шт,9,0.5,137,24
Нагетсы 5шт,13.1,12.5,225,15.1
Нагетсы 10шт,13.1,12.5,225,15.1
Суп лапша куриная с зеленью,,,,
Суп гороховый с копченостями,4,1.8,75,10.6
Борщ с клюквой,,,,
Салат фреш,,,,
Сок IL primo,,,,
Блин лесная малина,,,,
Блин малиновый чизкейк,,,,
Блин с твором и малиной,,,,
Блин с красной рыбой и сырным соусом,6.2,10.5,201,20.6
Блин с капустой,,,,
Блин Курица под яблочным соусом,,,,
Блин Баварский Биф,,,,
Блин Чикаго Стайл,8.1,7.1,180,20.9
Брауни соленая карамель,,,,
Салат цезарь с курицей,,,,
Маффин ванильный с черной смородиной,,,,
Маффин шоколадный,,,,
Печенье американер класический,,,,
Печенье американер шоколадный,,,,
Котлета по киевски,13.3,13.2,239,16.6
Сырники,,,,
Блинчики,,,,
Блинчики с творогом,,,,
Блинчики с мясом,,,,
Сэндвич с лососем,,,,
Сэндвич с индейкой и беконом,,,,
Итальянский сэндвич,,,,
Круассан с ветчиной и сыром,,,,
Ролл с курицей,,,,
Борщ,,,,
Суп с куриный лапшой,,,,
Тарталетка с голубикой,,,,
Торт Москва,,,,
Круассан с шоколадом,,,,
Круассан,,,,
Фисташковый галстук,,,,
Пирожное крем-шоколад со свежими ягодами,,,,
Черный лес,,,,
Яблочный пирог,,,,
Донат,,,,
Чизкейк Сан Себастьян,,,,
Овсяное печенье,,,,
Тарталетка орехи-карамель,,,,
Сникерс,,,,
Марс,,,,
M&Ms,,,,
Батончик кокос-соленая карамель,,,,
Батончик миндаль кешью манго,,,,
Киндер делис,,,,
Арахис,,,,
Фисташки,,,,
Мафин шоколадный,,,,
Курасан,,,,
Чипсы Delicados,,,,
Чипсы Lays,,,,
Колбаски куриные,,,,
Гренки чесночные,,,,
Клюквенный морс,,,,
,,,,
Апельсиновый фреш,,,,
,,,,
Паста «Карбонара»,,,,
Паста «Альфредо» с курицей,,,,
Вареники с картофелем и грибами,,,,
Запеченная куриная грудка,,,,
Паста с копчёным лососем,,,,
Пельмени с говядиной и зеленью,,,,
Морепродукты в сливочном соусе,,,,
Паста «Помодоро»,,,,
Бифштекс с яйцом пашот,,,,
Стейк из лосося,,,,
Стейк из индейки су-вид,,,,
Паста с морепродуктами,,,,
Стейк из тунца,,,,
"Говядина в соусе «Демиглас» с
  картофельным пюре",,,,
Кабачки гриль,,,,
Салат «Цезарь» с курицей,,,,
Салат «Греческий»,,,,
Винегрет с опятами,,,,
Фруктовый салат,,,,
Салат со страчателлой и персиковым чатни,,,,
Салат «Цезарь» с креветками,,,,
Салат «Пять зелёных овощей»,,,,
Салат с хумусом и артишоками,,,,
Салат «Баварский»,,,,
Салат с морепродуктами,,,,
Салат «Кобб»,,,,
Теплый салат с ростбифом,,,,
Салат «Нисуаз»,,,,
Буррата с томатами,,,,
Брусочки яблоко-морковь,,,,
Брусочки морковные,,,,
Ассорти сыров,,,,
Мясное ассорти,,,,
"Драники картофельные с говяжьими
  колбасками",,,,
Сырники с яблочной начинкой,,,,
Английский завтрак,,,,
Континентальный завтрак,,,,
Бриошь с беконом,,,,
Бриошь с лососем,,,,
Драники с лососем,,,,
"Омлет с сыром, томатами, ветчиной и
  беконом",,,,
Каша овсяная с беконом и яйцом пашот,,,,
"Скрэмбл с беконом, пармезаном и томатами",,,,
Картофельная вафля с беконом,,,,
Картофельная вафля с лососем,,,,
Шакшука,,,,
Завтрак с индейкой,,,,
Завтрак с креветками,,,,
Омлет с овощами,,,,
Блинчики домашние,,,,
Гречневые блинчики,,,,
Гречневые блинчики с курицей и грибами,,,,
Блинчики «Легендарные» с шоколадом,,,,
Блины с творогом и вишневым вареньем,,,,
"Блинчики со слабосолёным лососем и
  рикоттой",,,,
Стопка блинчиков домашних,,,,
Большая стопка блинчиков домашних,,,,
Большая порция блинчиков с маком,,,,
Большая порция сырников,,,,
Большая порция блинчиков с творогом,,,,
Большая порция блинов с сыром и ветчиной,,,,
Хот-дог с говяжьей колбаской,,,,
"Тапас с хумусом, артишоками и томатами
  черри",,,,
"Тапас со слабосоленым лососем и соусом
  чимичурри",,,,
Гриль-круассан «Пепперони»,,,,
"Пита «Том ям» с куриной грудкой и
  креветками",,,,
Брускетта с томатами и творожным сыром,,,,
Брускетта со страчателлой,,,,
Ассорти тапас,,,,
Круассан «Скандинавия»,,,,
Панини бургер с говяжьей котлетой,,,,
Круассан с ветчиной и сыром,,,,
Круассан «Дабл чиз»,,,,
"Бейгл с жареным беконом, свежим салатом и
  томатами",,,,
Ролл «Цезарь»,,,,
Бейгл с ветчиной и сыром,,,,
Горячие бутерброды с ветчиной и сыром,,,,
Горячие бутерброды с сыром,,,,
Паштет куриный с луковым конфитюром,,,,
Сэндвич «Пепперони»,,,,
Сэндвич с ветчиной и сыром,,,,
Сэндвич «Цезарь»,,,,
Круассан «Пепперони»,,,,
Брускетта с креветками и авокадо,,,,
Куриный суп,,,,
Борщ с говядиной,,,,
Гороховый суп с копченостями,,,,
Тыквенный крем-суп,,,,
Крем-суп с шампиньонами,,,,
Куриный бульон с яйцом,,,,
Том ям с креветками,,,,
Пицца «Маргарита»,,,,
Пицца «Пепперони»,,,,
Пицца «Четыре сыра»,,,,
Пицца «Ветчина и грибы»,,,,
Пицца «Курица и грибы»,,,,
Пицца «Карбонара»,,,,
Пицца «Жюльен»,,,,
Имбирный пряник,,,,
Морковный торт с амарантом,,,,
Торт «Опера»,,,,
«Медовик»,,,,
«Сникерс»,,,,
Торт «Кристалл»,,,,
«Шоколадный десерт»,,,,
Круассан классический,,,,
Круассан с вишневым вареньем и крем-чиз,,,,
«Наполеон»,,,,
Яблочный пирог,,,,
Миндальный круассан,,,,
Круассан с нутеллой,,,,
Торт «Москва»,,,,
«Манго»,,,,
«Тирамису»,,,,
Чизкейк «Нью-Йорк»,,,,
Фисташковый рулет с малиной,,,,
Кофейный чизкейк,,,,
Тарталетка с клубникой,,,,
Панна-котта,,,,
Пирожное «Тутти-фрутти»,,,,
Флэт-круассан с шоколадом,,,,
Гриль-круассан с ветчиной и сыром,,,,
Пита «Том ям» с куриной грудкой и креветками,,,,
Клюквенный морс,,,,
Ferrero Rocher,,,,
Флэт-круассан с малиной,,,,
Флэт-круассан с фисташкой,,,,
Маффин в ассортименте,,,,
Печенье шоколадное,,,,
Печенье злаковое,,,,
Kinder Сюрприз,,,,
Kinder Bueno,,,,
Raffaello,,,,
Tic Tac,,,,
Набор пирожных классика,,,,
Омлет с куриными мини-сосисками,,,,
"Оладьи с бананом, клубникой и сгущенным
  молоком",,,,
"Блинчики с нутеллой, бананом и свежей
  клубникой",,,,
"Сырники с яблочной начинкой и свежими
  ягодами",,,,
"Блинчики с творогом, свежими ягодами и
  шоколадным соусом",,,,
Куриный супчик,,,,
Мини-пельмешки,,,,
Наггетсы,,,,
Шницель с овощными палочками,,,,
Детский бургер,,,,
Спагетти с куриными мини-сосисками,,,,
Куриные котлеты с овощными палочками,,,,
Овощной салат,,,,
Лимонад ягодный,,,,
Фреш в ассортименте,,,,
Орехи смесь ореховая,10,,12,
Смузи боул,,,,
Котлета из индейки,21,11,200,2
Колбаска свиная новая,,,,
Плов из курицы,,,,
Охотничьи котелты,,,,
Сарделька,,,,
Хинкали,,,,
Котлета куриная,,,,
Вок,,,,
Котлета по-киевски,,,,
Сырники,,,,
Блинчики с мясом,,,,
Ролл с курицей / цезарь,,,,
Хот дог,,,,
Шаурма с курицей,,,,
Шаурма с говядиной Delux,,,,
Оливье,,,,
Вафля бельгийская 2шт,,,,
Блинный торт с карамелью,,,,
Медовик,,,,
Тарталетка орехи-карамель,,,,
Тарталетка с голубикой,,,,
Тирамису,,,,
Яблочный пирог,,,,
Донат в ассортименте,,,,
Арахис,,,,
Миндаль,,,,
Фисташки,,,,
Колбаска говяжая,,,,
Маковый штрулель,,,,
Манты с бараниной,,,,
Куриная печень с картофелем,14,19,262,9
Тигровые креветки с чесноком и петрушкой,,,,
Гребешки с чесноком и петрушкой,16,34,382,5
Сырники из Рикотты со сметаной и вареньем,8,14,244,20
Пирог со свежей клебникой,,,,
Чизкейк Сан-Себастьян,5,24,307,18
Биг Хит 228гр,11.8,12.3,230,17.5
Чикен Премьер 234гр,11.1,13.7,255,21.4
Фиш Бургер 133гр,11.3,10.5,249,27.1
Малиновый мусс 100гр,2,13,229,25
Стрипсы 3шт,14,10,223,19
Пирожок вишеневый 80гр,3,15,363,53.8
Салат Цезарь 156гр,9.6,7.1,148,10.9
Нагетцы 9шт,15.3,12.6,249,16.7
Борщ с пастрами из говядины и копченой грушей,,,,
Крем-суп из спаржи,,,,
Морской еж,,,,
Устрица,,,,
Медовый сбитень,,,,
Морковный пирог кекс с грецким орехом и изюмом,3.5,15,320,33
Осьминог,31,10,230,3
Рыба Филе тунца обжаренное на гриле с соте из зеленых овощей,,,,
Запеканка на топленом твороге с изюмом,,,,
"Тартар из копченого угря, огурца и страчателлы ",10,9.5,190,16
Батат фри с пармезаном,5.5,13,330,48
Сметанник с хурмой,4.5,19,330,35
"Куриная грудка, брокколи и соус из петрушки",12,6,110,2
Ризотто с крабом,2,5,130,19
"Краб с запеченным баклажаном, йогуртом и соусом черный перец",,,,
Салат Цезарь с креветками и жареным сыром халуми,,,,
"Салат Цыпленок гриль, кускус, томаты, шпинат",,,,
Рыба Филе дорадо с орзо и песто,,,,
"Рыба  Треска, картофельное пюре, яйцо пашот ",,,,
Закуска Мясные деликатесы,,,,
Тальятелле с белыми грибами,,,,
Суп из лесных грибов с картофельными ньокками,,,,
Крем-суп из каштанов с гребешком и черным трюфелем,,,,
"Улитки по-лионски с чесночным багетом ",,,,
МОКТЕЙЛИ Имбирный с мятой и кафирским лаймом,,,,
Узвар Гвидон,,,,
Рататуй,,,,
Десерт три шоколада,,,,
Лосось с мандаринами и жареной брокколи,,,,
Черная треска с цитрусовым шардоне и кумкватом,,,,
Филе миньон со шпинатом и картофельным гратеном,,,,
"Паштет из утки с фуа-гра, каштановым медом и черным трюфелем",,,,
Карпаччо из лосося с щавелем и соусом из крапивы,,,,
Кокот из сморчков с крабом,,,,
Гребешок с земляникой и молодым миндалем,,,,
"Краб, авокадо и фруктовый бальзамик",,,,
Террин из фуа-гра с финиками и инжиром,,,,
ДЕСЕРТЫ Шу с облепихой и кремом «Патисьер»,,,,
Десерт Милфей Гвидон,4,25,284,9
Уха с песто,,,,
Люля-Кебаб из телятины,,,,
Медовик черемуховый,,,,
Щеки с картофельным пюре и томатами кимчи,,,,
Хачапури По-Аджарски,,,,
Плов Праздничный,25,7,200,8
Восточный базар,,,,
Самса с бараниной,,,,
Гречневая лапша с овощами и древесными грибами,,,,
Манты с телятиной,10,5,190,24
Запеченная дорада с томатами и соусом джонджоли,,,,
Кукурузный суп с крабом,,,,
Филе форели на мангале,,,,
Телятина с соусом из сморчков,,,,
Шашлык из лосося с картофельным пюре,,,,
Теплый салат с дорадо и соусом лабне,,,,
Шашлык куриный,,,,
Цыпленок,,,,
Цыпленок с тюфельным прюре,,,,
Греческий салат из баклажанов,,,,
Салат с цыпленком и шиитаке,,,,
Наполеон,,,,
"Боул с тофу, булгуром и авокадо",,,,
Голубцы с крабом и креветками,,,,
Чай Клубника с шалфеем,,,,
Салат мясной микс с чипсами,,,,
Восточное разнотравие,,,,